,Date,Open,High,Low,Close,Adj Close,Volume,gainORloss
349,2018-09-27,31.860001,32.630001,31.389999,32.59,32.59,87934400,-1.2273734274317372
350,2018-09-28,32.240002000000004,32.779999,29.98,30.889999,30.889999,165453500,5.503402573758594
351,2018-10-01,30.690001000000002,31.91,30.25,31.42,31.42,94742900,-1.6868268618714262
352,2018-10-02,30.73,30.82,28.65,29.02,29.02,145276500,8.270158511371475
353,2018-10-03,29.040001,29.219998999999998,26.540001,28.43,28.43,190137200,2.0752725993668655
354,2018-10-04,27.99,28.83,27.370001000000002,27.780001000000002,27.780001000000002,95831200,2.3398091310363793
355,2018-10-05,28.07,28.469998999999998,26.93,27.35,27.35,88008500,1.572215722120661
356,2018-10-08,26.73,27.540001,25.959999,26.459999,26.459999,103789500,3.3635715556905406
357,2018-10-09,26.15,27.709999,26.0,27.24,27.24,105461800,-2.863439794419966
358,2018-10-10,27.379998999999998,27.4,24.91,25.0,25.0,147682900,8.959999999999994
359,2018-10-11,24.74,26.200001,24.549999,25.299999,25.299999,147013800,-1.1857668452872259
360,2018-10-12,26.77,26.969998999999998,25.67,26.34,26.34,111059400,-3.9483712984054673
361,2018-10-15,26.379998999999998,26.77,25.75,26.26,26.26,70523500,0.30464584920029814
362,2018-10-16,26.629998999999998,28.23,26.17,28.18,28.18,92529000,-6.813342796309432
363,2018-10-17,28.41,28.530001000000002,26.92,27.299999,27.299999,89466900,3.2234470045218684
364,2018-10-18,27.08,27.75,26.4,26.620001000000002,26.620001000000002,79623700,2.554462713957064
365,2018-10-19,27.030001000000002,27.1,23.6,23.66,23.66,130799900,12.510570583262897
366,2018-10-22,24.459999,25.639999,24.09,25.030001000000002,25.030001000000002,114158900,-5.4734356582726535
367,2018-10-23,24.18,25.26,23.85,25.09,25.09,101763000,-0.23913511359106293
368,2018-10-24,25.040001,25.1,22.75,22.790001,22.790001,134489100,10.09214084720751
369,2018-10-25,17.92,20.15,17.719998999999998,19.27,19.27,189173700,18.26674104826155
